Genome,jk18x11,jk18x1bz,jk18x22,jk18x25,jk18x27,jk18x34,jk18x40,jk18x44,jk18x7,jk18x8,jk18x9,jk18xA,p16x33,p16x34,p16x43,p16x44,p16x57,p16x60,p16x63,p16x65
jk18x7bins.95,0.059215494,0.045688253,0.050395966,0.06506008,0.12698114,0.086802274,0.041058753,0.009125846,0.6995395,0.064636365,0.18989266,0.021770556,0.02643328,0.03266896,0.02716396,0.010152781,0.029079875,0.059535615,0.028341684,0.015956055
jk18x7bins.84,9.419319,0,0.7206928,4.159477,0,0,0,0,10.458077,8.608348,12.954952,0.49538723,0,0,1.8839695,1.1932442,0,0,0.27448973,0
p16x65bins.25,0.014501734,0,0.04384822,0.032522574,0.08337448,0.04382786,0.08716651,0.016537143,0.10567215,0.03858406,0.1704398,0.028373746,0.118403584,0.037327014,0,0,0,0,0.22230537,0.5032468
p16x34bins.50,0.005947148,0.11224791,0.047068086,0.028672129,0.107772015,0.10200175,0.040807325,0,0.030257728,0.008826561,0.028530236,0.045708705,0.27668262,0.72259355,0.22832246,0.07386561,0.045138016,0.09785861,0.09784207,0.045669086
jk18x11bins.40,0.3020393,0.029844748,0.07245032,0,0,0,0.024229156,0,0.17351794,0.031657662,0.18275398,0.028069384,0,0,0.03042994,0,0,0,0.024830686,0.015276765
jk18x9bins.74,0.06679663,0,0,0,0,0,0.017133333,0,0.23384205,0.12126052,0.6557283,0,0.01703076,0,0,0,0,0,0,0
p16x34bins.45,0,0,0.035867848,0,0,0,0.010045211,0,0,0,0,0,0.061529405,1.5347046,0.062160105,0.019542614,0.011950905,0.031467825,0,0
p16x63bins.71,0.022562794,0,0.087039,0.06671601,0.17675868,0.09253526,0,0,0.031056147,0.019525664,0,0.02246106,0,0,0.015052818,0.014996361,0,0,0.34014943,0
jk18xAbins.67,0,0.42964703,0,0,0,0,0,0,0,0,0,0.48703364,0,0,0.048554417,0.0149089955,0,0,0,0
p16x60bins.18,0.018125307,0,0.28430727,0.039879188,0.02940521,1.0771674,0.22739738,0.22829506,0.118201725,0.018578764,0.076770134,0,0.041279845,0.11834146,0.24161968,0.08826631,0,0.26404175,0.07927283,0.0868152
jk18x22bins.40,7.129047,0,15.944267,5.9170794,0,0,0,0,1.3461617,6.464148,1.8621625,4.883268,0,0,4.542913,2.0602589,0,0,1.3466907,0
jk18x25bins.14,0,0,0,0.6991085,0.06389212,0.18205461,0.02513869,0,0.0043387995,0,0.014635048,0,0.11058455,0.05155687,0.047310807,0.011824632,0.017308053,0.06268706,0.023324978,0.025548512
